"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
426,Environmental Science-Nano,"3,769",7.704,0.008570
427,Annual Review of Nuclear and Particle Science,"2,527",7.700,0.003500
428,ECOLOGICAL MONOGRAPHS,"11,025",7.698,0.007750
429,CURRENT OPINION IN IMMUNOLOGY,"9,164",7.667,0.017430
430,IEEE Transactions on Sustainable Energy,"8,780",7.650,0.022410
430,JOURNAL OF HAZARDOUS MATERIALS,"96,476",7.650,0.066050
432,RADIOLOGY,"54,641",7.608,0.061270
433,IEEE SIGNAL PROCESSING MAGAZINE,"12,072",7.602,0.016800
434,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,"4,174",7.600,0.003700
435,SPORTS MEDICINE,"16,366",7.583,0.022460
436,Protein & Cell,"3,243",7.575,0.009070
437,HAEMATOLOGICA,"16,255",7.570,0.037650
437,Journal of the National Comprehensive Cancer Network,"5,746",7.570,0.020020
439,RIVISTA DEL NUOVO CIMENTO,718,7.565,0.001210
440,eLife,"37,014",7.551,0.259550
441,Journal of Allergy and Clinical Immunology-In Practice,"4,196",7.550,0.013080
442,JOURNAL OF AUTOIMMUNITY,"6,900",7.543,0.015050
443,Environmental Innovation and Societal Transitions,"1,884",7.514,0.003280
443,Environmental Innovation and Societal Transitions,"1,884",7.514,0.003280
445,CURRENT OPINION IN PLANT BIOLOGY,"13,733",7.508,0.021640
446,IEEE NETWORK,"4,228",7.503,0.008700
446,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"61,342",7.503,0.100630
448,JOURNAL OF POWER SOURCES,"116,432",7.467,0.134510
449,CARBON,"74,892",7.466,0.085220
450,Materials Research Letters,"1,564",7.440,0.005240
451,MILBANK QUARTERLY,"3,936",7.425,0.004610
451,MILBANK QUARTERLY,"3,936",7.425,0.004610
453,Eurosurveillance,"9,131",7.421,0.031650
454,ACTA NUMERICA,"1,999",7.417,0.003310
455,Conservation Letters,"4,133",7.397,0.010890
456,IEEE Transactions on Industrial Informatics,"13,187",7.377,0.028790
457,SEMINARS IN IMMUNOLOGY,"5,016",7.358,0.010280
458,Neurology-Neuroimmunology & Neuroinflammation,"1,996",7.353,0.008220
459,Mucosal Immunology,"6,990",7.352,0.020720
460,IEEE Transactions on Systems Man Cybernetics-Systems,"9,525",7.351,0.015440
461,AGING CELL,"8,993",7.346,0.018850
462,2D Materials,"5,487",7.343,0.022810
463,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"23,097",7.339,0.050810
464,Journal of Physical Chemistry Letters,"45,404",7.329,0.124320
465,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,"3,149",7.328,0.006380
466,JOURNAL OF NUCLEAR MEDICINE,"27,551",7.308,0.037980
467,NEW PHYTOLOGIST,"52,069",7.299,0.082470
468,ACTA MATERIALIA,"73,990",7.293,0.090920
469,SCHIZOPHRENIA BULLETIN,"17,794",7.289,0.025580
469,SCHIZOPHRENIA BULLETIN,"17,794",7.289,0.025580
471,ULTRASONICS SONOCHEMISTRY,"17,314",7.279,0.017670
472,Clinical & Translational Immunology,998,7.271,0.003770
473,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"1,830",7.242,0.003170
474,Advances in Nutrition,"4,896",7.240,0.012140
475,Biofabrication,"3,599",7.236,0.006690
476,BRITISH JOURNAL OF PSYCHIATRY,"25,101",7.233,0.022560
476,BRITISH JOURNAL OF PSYCHIATRY,"25,101",7.233,0.022560
478,GASTROINTESTINAL ENDOSCOPY,"22,325",7.229,0.029680
478,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"4,310",7.229,0.003200
480,IEEE TRANSACTIONS ON POWER ELECTRONICS,"52,702",7.224,0.074480
480,SIAM REVIEW,"8,996",7.224,0.006490
482,DIABETES,"53,532",7.199,0.064540
483,ACADEMY OF MANAGEMENT JOURNAL,"39,363",7.191,0.029750
484,Reviews in Aquaculture,"1,267",7.190,0.002310
485,EMERGING INFECTIOUS DISEASES,"30,311",7.185,0.059400
486,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"15,406",7.182,0.024740
487,ENERGY CONVERSION AND MANAGEMENT,"51,652",7.181,0.068400
488,Annual Review of Organizational Psychology and Organizational Behavior,984,7.179,0.005340
489,Alcohol Research-Current Reviews,804,7.174,0.002760
490,Additive Manufacturing,"2,445",7.173,0.005200
491,AMERICAN JOURNAL OF TRANSPLANTATION,"24,285",7.163,0.050960
492,NEUROPSYCHOPHARMACOLOGY,"25,672",7.160,0.039080
493,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"173,191",7.149,0.177660
494,ACS Photonics,"9,956",7.143,0.033660
495,Advanced Optical Materials,"8,586",7.125,0.026060
495,Journal of Supply Chain Management,"2,887",7.125,0.003120
497,DIABETOLOGIA,"30,692",7.113,0.041920
498,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,"27,929",7.102,0.036570
499,Methods in Ecology and Evolution,"11,672",7.099,0.036710
500,MAYO CLINIC PROCEEDINGS,"14,695",7.091,0.025770
501,Wiley Interdisciplinary Reviews-Climate Change,"3,352",7.057,0.008650
501,Wiley Interdisciplinary Reviews-Climate Change,"3,352",7.057,0.008650
503,CRITICAL REVIEWS IN BIOTECHNOLOGY,"3,785",7.054,0.005370
504,CURRENT OPINION IN STRUCTURAL BIOLOGY,"11,066",7.052,0.024150
505,Molecular Ecology Resources,"10,473",7.049,0.018990
506,RESOURCES CONSERVATION AND RECYCLING,"13,476",7.044,0.010320
507,BMJ Quality & Safety,"5,234",7.043,0.017260
507,BMJ Quality & Safety,"5,234",7.043,0.017260
509,HYPERTENSION,"36,482",7.017,0.046550
510,JOURNAL OF MEMBRANE SCIENCE,"68,302",7.015,0.061340
511,CARDIOVASCULAR RESEARCH,"21,828",7.014,0.021480
511,CELLULAR AND MOLECULAR LIFE SCIENCES,"24,422",7.014,0.038970
513,MATRIX BIOLOGY,"5,699",6.986,0.009610
514,CRITICAL CARE MEDICINE,"40,207",6.971,0.055040
515,ACS Sustainable Chemistry & Engineering,"24,768",6.970,0.048770
515,Nanoscale,"92,732",6.970,0.208020
517,CRITICAL CARE,"23,511",6.959,0.045120
518,ACS Sensors,"3,439",6.944,0.008550
519,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"11,576",6.942,0.018240
520,CANADIAN MEDICAL ASSOCIATION JOURNAL,"15,351",6.938,0.016520
521,Environmental Science & Technology Letters,"2,531",6.934,0.008430
522,Advances in Experimental Social Psychology,"5,578",6.933,0.002910
522,NEW ASTRONOMY REVIEWS,"1,062",6.933,0.001260
524,PERSONNEL PSYCHOLOGY,"7,753",6.930,0.005570
525,Brain Stimulation,"5,457",6.919,0.014460
526,CLINICAL CHEMISTRY,"27,151",6.916,0.022110
526,CURRENT OPINION IN MICROBIOLOGY,"10,298",6.916,0.020350
528,LAB ON A CHIP,"31,678",6.914,0.046810
529,Epilepsy Currents,799,6.909,0.001560
530,Nanophotonics,"1,936",6.908,0.006090
531,International Review of Sport and Exercise Psychology,867,6.905,0.001230
532,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"5,226",6.887,0.008260
533,DRUG DISCOVERY TODAY,"14,244",6.880,0.021550
534,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,"3,876",6.878,0.006420
535,EDUCATIONAL PSYCHOLOGY REVIEW,"4,533",6.866,0.004700
536,COMPOSITES PART B-ENGINEERING,"30,167",6.864,0.045750
537,ECONOMIC GEOGRAPHY,"3,351",6.861,0.002520
538,PERSOONIA,"1,495",6.860,0.002950
539,ADDICTION,"19,945",6.851,0.032080
539,ADDICTION,"19,945",6.851,0.032080
541,PLANT BIOTECHNOLOGY JOURNAL,"7,866",6.840,0.016170
542,Virtual and Physical Prototyping,993,6.825,0.001870
543,BULLETIN OF THE WORLD HEALTH ORGANIZATION,"15,736",6.818,0.018110
544,PROGRESS IN AEROSPACE SCIENCES,"3,794",6.814,0.004610
545,IEEE TRANSACTIONS ON POWER SYSTEMS,"44,737",6.807,0.051280
546,NEUROENDOCRINOLOGY,"5,046",6.804,0.005700
546,Seminars in Immunopathology,"3,337",6.804,0.007880
548,NEUROSCIENTIST,"4,986",6.791,0.008510
549,IEEE TRANSACTIONS ON IMAGE PROCESSING,"40,201",6.790,0.061450
550,ALLERGY,"17,873",6.771,0.024230
551,Polymer Reviews,"1,959",6.766,0.002080
552,Cell Chemical Biology,"2,022",6.762,0.009370
553,mBio,"16,500",6.747,0.069090
554,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,"11,349",6.732,0.006890
555,BMC BIOLOGY,"5,937",6.723,0.017810
555,European Heart Journal-Cardiovascular Pharmacotherapy,442,6.723,0.001430
557,Topics in Current Chemistry,"6,409",6.721,0.010800
558,BRITISH JOURNAL OF DERMATOLOGY,"27,173",6.714,0.031710
559,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"12,591",6.704,0.015020
560,CLINICAL NUCLEAR MEDICINE,"4,922",6.703,0.007670
561,IEEE Journal of Selected Topics in Signal Processing,"6,560",6.688,0.017500
562,EBioMedicine,"5,401",6.680,0.022300
562,EUROPEAN JOURNAL OF CANCER,"30,731",6.680,0.055250
564,BIORESOURCE TECHNOLOGY,"118,251",6.669,0.106420
565,CANCER AND METASTASIS REVIEWS,"6,011",6.667,0.006220
566,FISH AND FISHERIES,"4,382",6.655,0.008160
567,AMERICAN JOURNAL OF KIDNEY DISEASES,"23,401",6.653,0.030930
568,Review of Environmental Economics and Policy,"1,136",6.649,0.003390
569,TRANSPORT REVIEWS,"2,901",6.648,0.003420
570,QUARTERLY REVIEWS OF BIOPHYSICS,"2,367",6.643,0.002820
571,Journal of Materials Chemistry C,"40,067",6.641,0.097440
572,Acta Biomaterialia,"34,157",6.638,0.050140
573,Advances in Nonlinear Analysis,478,6.636,0.002860
574,ONCOGENE,"63,249",6.634,0.074600
575,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"33,223",6.618,0.036010
576,GENOMICS PROTEOMICS & BIOINFORMATICS,"1,612",6.597,0.004780
577,BIOSCIENCE,"18,353",6.591,0.012840
578,BRITISH JOURNAL OF PHARMACOLOGY,"34,006",6.583,0.033420
579,PROGRESS IN HUMAN GEOGRAPHY,"7,098",6.576,0.008080
580,AMERICAN JOURNAL OF CLINICAL NUTRITION,"59,513",6.568,0.053460
581,Annual Review of Virology,787,6.566,0.004680
582,Science Signaling,"11,403",6.565,0.033690
583,Particle and Fibre Toxicology,"4,174",6.561,0.006850
584,ORGANIC LETTERS,"100,313",6.555,0.136330
585,ORGANIZATIONAL RESEARCH METHODS,"6,139",6.551,0.006910
586,EUROPEAN JOURNAL OF EPIDEMIOLOGY,"7,785",6.529,0.016940
587,Circulation-Heart Failure,"6,900",6.526,0.022710
588,mSystems,"1,003",6.519,0.004190
589,METABOLISM-CLINICAL AND EXPERIMENTAL,"14,379",6.513,0.016360
590,Tissue Engineering Part B-Reviews,"3,550",6.512,0.004970
591,CANCER LETTERS,"30,146",6.508,0.043770
592,ACM TRANSACTIONS ON GRAPHICS,"21,302",6.495,0.032160
593,IEEE Transactions on Robotics,"15,859",6.483,0.012930
594,GONDWANA RESEARCH,"13,210",6.478,0.029220
595,BASIC RESEARCH IN CARDIOLOGY,"4,137",6.470,0.005600
596,PLoS Pathogens,"43,751",6.463,0.118900
597,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,"1,475",6.455,0.001690
597,EPIDEMIOLOGIC REVIEWS,"3,477",6.455,0.003470
597,EXERCISE IMMUNOLOGY REVIEW,754,6.455,0.000890
600,JOURNAL OF ECONOMIC PERSPECTIVES,"12,975",6.451,0.020290
601,GeroScience,322,6.444,0.000740
602,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"1,753",6.436,0.001470
603,CLINICAL MICROBIOLOGY AND INFECTION,"17,929",6.425,0.036710
604,ANESTHESIOLOGY,"28,995",6.424,0.027490
605,IEEE Transactions on Dependable and Secure Computing,"2,439",6.404,0.003440
606,Soft Robotics,"1,179",6.403,0.002830
607,CLINICAL NUTRITION,"12,594",6.402,0.018220
607,Epidemiology and Psychiatric Sciences,"1,217",6.402,0.003830
607,Epidemiology and Psychiatric Sciences,"1,217",6.402,0.003830
610,International Journal of Neural Systems,"2,035",6.400,0.003050
611,JOURNAL OF CLEANER PRODUCTION,"71,233",6.395,0.083700
612,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,"29,218",6.394,0.058390
613,SENSORS AND ACTUATORS B-CHEMICAL,"82,189",6.393,0.088970
614,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"19,942",6.391,0.019350
614,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"19,942",6.391,0.019350
616,Business Strategy and the Environment,"5,266",6.381,0.002200
616,ENDOSCOPY,"10,604",6.381,0.016770
618,PHYSIOLOGY,"3,499",6.380,0.005880
619,MODERN PATHOLOGY,"13,735",6.365,0.021560
620,JOURNAL OF COLLOID AND INTERFACE SCIENCE,"70,444",6.361,0.049140
621,AUTOMATICA,"40,135",6.355,0.067330
621,CORROSION SCIENCE,"37,952",6.355,0.028730
623,BRAIN PATHOLOGY,"5,263",6.352,0.007880
624,ANALYTICAL CHEMISTRY,"133,005",6.350,0.149740
625,ATOMIC DATA AND NUCLEAR DATA TABLES,"3,215",6.349,0.002640
626,JOURNAL OF POLITICAL ECONOMY,"25,790",6.342,0.032020
627,CLINICAL PHARMACOLOGY & THERAPEUTICS,"16,170",6.336,0.016950
628,JOURNAL OF BUSINESS VENTURING,"12,076",6.333,0.007920
628,npj Biofilms and Microbiomes,475,6.333,0.001800
630,Swarm and Evolutionary Computation,"2,429",6.330,0.003250
631,Advanced Electronic Materials,"3,886",6.312,0.011930
632,COMPOSITES SCIENCE AND TECHNOLOGY,"33,219",6.309,0.022750
633,PLANT PHYSIOLOGY,"80,841",6.305,0.070470
634,JOURNAL OF INVESTIGATIVE DERMATOLOGY,"30,038",6.290,0.036960
635,IEEE Transactions on Affective Computing,"1,943",6.288,0.002970
636,Oceanography and Marine Biology,"2,485",6.286,0.001030
637,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"23,757",6.282,0.022260
638,Science Bulletin,"3,569",6.277,0.009830
639,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,"7,293",6.271,0.007270
640,Advanced Healthcare Materials,"9,022",6.270,0.023280
641,PSYCHOLOGICAL REVIEW,"28,522",6.266,0.009610
641,PSYCHOLOGICAL REVIEW,"28,522",6.266,0.009610
643,Comprehensive Physiology,"4,044",6.246,0.010740
644,Clinical Journal of the American Society of Nephrology,"16,951",6.243,0.032550
645,IEEE CONTROL SYSTEMS MAGAZINE,"4,282",6.228,0.003780
646,TOBACCO CONTROL,"8,343",6.221,0.019170
646,TOBACCO CONTROL,"8,343",6.221,0.019170
648,Reviews of Physiology Biochemistry and Pharmacology,738,6.214,0.000540
649,Emerging Microbes & Infections,"1,941",6.212,0.006720
650,IEEE Transactions on Information Forensics and Security,"9,811",6.211,0.019530
651,ASTRONOMY & ASTROPHYSICS,"131,500",6.209,0.204660
652,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,090",6.208,0.004120
653,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,"45,833",6.203,0.046920
654,JOURNAL OF FINANCE,"39,005",6.201,0.047960
655,BRITISH JOURNAL OF ANAESTHESIA,"21,180",6.199,0.024560
656,CONSERVATION BIOLOGY,"21,980",6.194,0.019450
657,ENTREPRENEURSHIP THEORY AND PRACTICE,"10,948",6.193,0.008540
658,Environmental Research Letters,"16,889",6.192,0.053450
659,Family Business Review,"3,374",6.188,0.001700
660,ALTEX-Alternatives to Animal Experimentation,"1,361",6.183,0.001920
661,Molecular Metabolism,"3,415",6.181,0.015290
662,BRAIN BEHAVIOR AND IMMUNITY,"14,533",6.170,0.025680
663,JAMA Ophthalmology,"4,965",6.167,0.021530
664,CHEMICAL COMMUNICATIONS,"195,550",6.164,0.290810
665,Cancers,"5,196",6.162,0.011780
665,PROGRESS IN CARDIOVASCULAR DISEASES,"4,055",6.162,0.008850
667,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,"21,132",6.155,0.023420
668,JOURNAL OF ECONOMIC GROWTH,"2,498",6.154,0.003560
669,IEEE Vehicular Technology Magazine,"1,331",6.145,0.003360
670,Alzheimers Research & Therapy,"3,160",6.142,0.010700
671,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,"2,345",6.140,0.004140
672,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"45,388",6.139,0.071090
673,Applied Mechanics Reviews,"4,208",6.138,0.003490
674,AMERICAN JOURNAL OF HEMATOLOGY,"10,375",6.137,0.022930
675,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,"10,619",6.134,0.011060
676,DIABETES OBESITY & METABOLISM,"9,982",6.133,0.021570
677,ACM COMPUTING SURVEYS,"8,120",6.131,0.012750
678,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,072",6.129,0.023090
678,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,072",6.129,0.023090
680,BLOOD REVIEWS,"2,889",6.125,0.005970
681,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,"40,864",6.120,0.049240
682,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,"10,478",6.111,0.016050
683,CANCER,"67,408",6.102,0.072150
684,AMERICAN JOURNAL OF SPORTS MEDICINE,"35,110",6.093,0.044130
685,INVESTIGATIVE RADIOLOGY,"6,563",6.091,0.011140
686,Circulation-Cardiovascular Interventions,"5,289",6.088,0.016660
687,Science China-Chemistry,"5,180",6.085,0.008010
688,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"3,566",6.081,0.004090
689,PROGRESS IN SOLID STATE CHEMISTRY,"2,084",6.077,0.001070
690,JOURNAL OF NEUROSCIENCE,"175,046",6.074,0.233380
691,INTERNATIONAL JOURNAL OF COMPUTER VISION,"17,707",6.071,0.027970
691,Reviews in Computational Chemistry,508,6.071,0.000490
693,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"3,489",6.069,0.006540
694,STROKE,"64,814",6.058,0.082610
695,JOURNAL OF MEDICINAL CHEMISTRY,"69,945",6.054,0.074480
696,JOURNAL OF INTERNAL MEDICINE,"10,547",6.051,0.015700
697,CARBOHYDRATE POLYMERS,"66,166",6.044,0.066930
698,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"19,766",6.040,0.028040
699,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"14,467",6.039,0.008900
700,International Journal of Behavioral Nutrition and Physical Activity,"9,914",6.037,0.020770
701,DESALINATION,"40,252",6.035,0.027810
702,PAIN,"38,312",6.029,0.039040
703,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,"3,382",6.028,0.002680
704,SOLAR ENERGY MATERIALS AND SOLAR CELLS,"30,400",6.019,0.031820
705,CURRENT OPINION IN NEUROBIOLOGY,"15,090",6.014,0.033660
705,JCI Insight,"4,351",6.014,0.020430
707,TOURISM MANAGEMENT,"20,615",6.012,0.012610
708,MACROMOLECULES,"102,131",5.997,0.083110
709,Oncogenesis,"2,016",5.995,0.006360
710,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"5,434",5.980,0.005330
711,IEEE Journal of Emerging and Selected Topics in Power Electronics,"3,904",5.972,0.013390
712,IEEE Transactions on Cloud Computing,"1,686",5.967,0.003820
713,Molecular Oncology,"5,016",5.962,0.013580
713,Stem Cells Translational Medicine,"5,059",5.962,0.015370
715,Cell Death & Disease,"19,001",5.959,0.051770
716,EDUCATIONAL PSYCHOLOGIST,"5,468",5.956,0.003880
717,Nanotoxicology,"4,675",5.955,0.007920
718,Cardiovascular Diabetology,"5,392",5.948,0.011550
719,ECOGRAPHY,"11,508",5.946,0.020520
720,Liver Cancer,769,5.944,0.002200
721,JOURNAL OF PATHOLOGY,"15,994",5.942,0.021030
722,Inorganic Chemistry Frontiers,"3,743",5.934,0.008150
723,Scientific Data,"3,240",5.929,0.015610
724,NBER Macroeconomics Annual,797,5.923,0.004370
725,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"72,132",5.919,0.027640
725,Molecular Therapy-Nucleic Acids,"3,189",5.919,0.010400
727,JOURNAL OF MEDICAL GENETICS,"12,417",5.899,0.016840
728,PATTERN RECOGNITION,"27,711",5.898,0.030330
729,ANGIOGENESIS,"2,956",5.894,0.004410
730,Acta Neuropathologica Communications,"3,063",5.883,0.014180
731,ANAESTHESIA,"10,389",5.879,0.010230
732,Environmental Sciences Europe,824,5.878,0.001780
733,Signal Transduction and Targeted Therapy,371,5.873,0.000990
734,Acta Physiologica,"4,734",5.868,0.008300
735,Chinese Physics C,"4,390",5.861,0.016730
736,Advances in Catalysis,"1,515",5.857,0.000290
736,Foundations and Trends in Information Retrieval,366,5.857,0.000290
736,IEEE Computational Intelligence Magazine,"1,333",5.857,0.001850
739,MOLECULAR ECOLOGY,"39,464",5.855,0.060170
740,Translational Stroke Research,"1,955",5.847,0.004330
741,Kidney International Supplements,"2,062",5.842,0.004680
742,FOOD HYDROCOLLOIDS,"23,287",5.839,0.025340
742,JOURNAL OF MANAGEMENT STUDIES,"11,622",5.839,0.008730
744,JOURNAL OF HIGH ENERGY PHYSICS,"87,627",5.833,0.143070
745,GLIA,"14,003",5.829,0.018750
746,ANTIOXIDANTS & REDOX SIGNALING,"20,275",5.828,0.029710
747,Circulation-Cardiovascular Imaging,"5,456",5.813,0.018470
748,NEUROIMAGE,"99,720",5.812,0.132680
749,Acta Pharmaceutica Sinica B,"2,418",5.808,0.004930
750,INTERNATIONAL JOURNAL OF PLASTICITY,"11,299",5.800,0.013670
751,JOURNAL OF WORLD BUSINESS,"5,206",5.789,0.004820
752,AMERICAN JOURNAL OF BIOETHICS,"2,285",5.786,0.004240
752,AMERICAN JOURNAL OF BIOETHICS,"2,285",5.786,0.004240
754,NEURAL NETWORKS,"13,063",5.785,0.016050
755,JOURNAL OF APPLIED ECOLOGY,"19,342",5.782,0.023780
756,Earths Future,"1,573",5.781,0.007020
757,NUTRITION REVIEWS,"8,400",5.779,0.009280
758,ACS Macro Letters,"9,573",5.775,0.027450
758,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,"10,655",5.775,0.017030
760,Advances in Immunology,"2,544",5.771,0.004220
761,MATERIALS & DESIGN,"53,840",5.770,0.089010
762,Future Generation Computer Systems-The International Journal of eScience,"10,230",5.768,0.013240
763,DEVELOPMENT,"54,782",5.763,0.080760
764,Geochemical Perspectives,168,5.750,0.000430
765,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"13,098",5.744,0.021080
766,ARCHIVES OF TOXICOLOGY,"10,270",5.741,0.015550
767,NEUROPSYCHOLOGY REVIEW,"2,971",5.739,0.003940
767,NEUROPSYCHOLOGY REVIEW,"2,971",5.739,0.003940
769,GLOBAL BIOGEOCHEMICAL CYCLES,"15,026",5.733,0.018100
770,Catalysis Science & Technology,"19,506",5.726,0.041110
770,PLANT JOURNAL,"43,424",5.726,0.044980
772,Advances in Ecological Research,"2,205",5.724,0.001740
773,ENVIRONMENTAL POLLUTION,"48,578",5.714,0.052520
774,Molecular Autism,"2,107",5.712,0.008010
775,HEALTH AFFAIRS,"17,240",5.711,0.053320
775,HEALTH AFFAIRS,"17,240",5.711,0.053320
775,JOURNAL OF BONE AND MINERAL RESEARCH,"26,818",5.711,0.032070
778,Molecular Therapy-Oncolytics,486,5.710,0.001990
779,IEEE Transactions on Services Computing,"2,379",5.707,0.004390
780,Journal of Neuroinflammation,"11,767",5.700,0.023220
781,CRITICAL REVIEWS IN MICROBIOLOGY,"2,694",5.697,0.003990
782,HARVARD BUSINESS REVIEW,"18,160",5.691,0.013090
783,IEEE TRANSACTIONS ON COMMUNICATIONS,"21,149",5.690,0.038710
784,Journal of Clinical Medicine,"2,315",5.688,0.007200
785,JOURNAL OF ECOLOGY,"19,532",5.687,0.023130
786,AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,"2,139",5.683,0.004860
787,BREAST CANCER RESEARCH,"10,943",5.676,0.017300
788,Therapeutic Advances in Medical Oncology,"1,377",5.670,0.003110
789,ATMOSPHERIC CHEMISTRY AND PHYSICS,"51,162",5.668,0.083700
790,BIOMACROMOLECULES,"37,954",5.667,0.037180
790,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"11,864",5.667,0.021920
792,Physics of the Dark Universe,"1,041",5.660,0.003870
793,FREE RADICAL BIOLOGY AND MEDICINE,"40,820",5.657,0.040290
794,Cells,"1,412",5.656,0.003990
795,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,"2,952",5.655,0.005990
796,Multiple Sclerosis Journal,"11,501",5.649,0.022740
797,JOURNAL OF UROLOGY,"48,298",5.647,0.045940
798,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"6,309",5.646,0.010250
799,PSYCHOLOGICAL MEDICINE,"25,176",5.641,0.038060
799,PSYCHOLOGICAL MEDICINE,"25,176",5.641,0.038060
801,European Journal of Preventive Cardiology,"4,782",5.640,0.013360
802,Science China-Materials,"1,878",5.636,0.003590
803,LEADERSHIP QUARTERLY,"10,030",5.631,0.007940
804,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"43,741",5.630,0.046970
805,COMPUTERS & EDUCATION,"14,601",5.627,0.013400
805,COMPUTERS & EDUCATION,"14,601",5.627,0.013400
